IP1,IP2,ASN
94.142.118.10,94.142.118.10,12956
94.142.118.10,5.53.1.63,12956
94.142.118.10,94.142.107.214,12956
94.142.118.10,94.142.127.10,12956
94.142.118.10,84.16.12.158,12956
94.142.118.10,5.53.1.63,12956
5.53.1.63,94.142.107.214,12956
5.53.1.63,213.140.38.243,12956
5.53.1.63,94.142.127.43,12956
5.53.1.63,213.140.35.116,12956
5.53.1.63,94.142.118.10,12956
5.53.1.63,5.53.1.63,12956
5.53.1.63,94.142.107.214,12956
5.53.1.63,94.142.127.10,12956
5.53.1.63,84.16.12.158,12956
5.53.1.63,5.53.1.63,12956
186.105.96.1,191.112.23.7,7418
186.105.96.1,186.105.96.1,7418
186.105.96.1,191.112.23.7,7418
186.105.96.1,186.105.96.1,7418
186.105.96.1,191.112.23.7,7418
191.112.23.7,186.105.96.1,7418
191.112.23.7,191.112.23.7,7418
191.112.23.7,186.105.96.1,7418
191.112.23.7,191.112.23.7,7418
80.77.4.57,85.95.25.94,15412
80.77.4.57,80.77.4.57,15412
80.77.4.57,85.95.25.94,15412
85.95.25.94,80.77.4.57,15412
85.95.25.94,85.95.25.94,15412
62.115.187.124,62.115.187.124,1299
94.142.107.214,213.140.38.243,12956
94.142.107.214,94.142.127.43,12956
94.142.107.214,213.140.35.116,12956
94.142.107.214,94.142.118.10,12956
94.142.107.214,5.53.1.63,12956
94.142.107.214,94.142.107.214,12956
94.142.107.214,94.142.127.10,12956
94.142.107.214,84.16.12.158,12956
94.142.107.214,5.53.1.63,12956
213.140.38.243,94.142.127.43,12956
213.140.38.243,213.140.35.116,12956
213.140.38.243,94.142.118.10,12956
213.140.38.243,5.53.1.63,12956
213.140.38.243,94.142.107.214,12956
213.140.38.243,94.142.127.10,12956
213.140.38.243,84.16.12.158,12956
213.140.38.243,5.53.1.63,12956
94.142.127.43,213.140.35.116,12956
94.142.127.43,94.142.118.10,12956
94.142.127.43,5.53.1.63,12956
94.142.127.43,94.142.107.214,12956
94.142.127.43,94.142.127.10,12956
94.142.127.43,84.16.12.158,12956
94.142.127.43,5.53.1.63,12956
213.140.35.116,94.142.118.10,12956
213.140.35.116,5.53.1.63,12956
213.140.35.116,94.142.107.214,12956
213.140.35.116,94.142.127.10,12956
213.140.35.116,84.16.12.158,12956
213.140.35.116,5.53.1.63,12956
94.142.118.10,5.53.1.63,12956
94.142.118.10,94.142.107.214,12956
94.142.118.10,94.142.127.10,12956
94.142.118.10,84.16.12.158,12956
94.142.118.10,5.53.1.63,12956
5.53.1.63,94.142.107.214,12956
5.53.1.63,94.142.127.10,12956
5.53.1.63,84.16.12.158,12956
5.53.1.63,5.53.1.63,12956
186.105.96.1,191.112.23.7,7418
186.105.96.1,186.105.96.1,7418
186.105.96.1,191.112.23.7,7418
191.112.23.7,186.105.96.1,7418
191.112.23.7,191.112.23.7,7418
80.77.4.57,85.95.25.94,15412
94.142.107.214,94.142.127.10,12956
94.142.107.214,84.16.12.158,12956
94.142.107.214,5.53.1.63,12956
94.142.127.10,84.16.12.158,12956
94.142.127.10,5.53.1.63,12956
84.16.12.158,5.53.1.63,12956
186.105.96.1,191.112.23.7,7418
