sport,wait_timeout,node_ttl,probe_size,reply_icmp_type,reply_icmp_code,reply_ipid,tos,node_link_count,proto,probe_sent_usec,probe_flowid,probe_attempt,reply_ttl,method,probe_sent_sec,stime,dst,hop_addr,probe_ttl,node_addr,dport,link_count,gaplimit,src,node_count,attempts,reply_rtt,confidence
N/A,5,1,44,11,0,96,0,1,N/A,453903,5,0,252,icmp-echo,1733576143,2024-12-07 09:55:37,185.131.204.20,10.50.3.10,4,191.112.0.1,N/A,3,3,192.168.1.27,3,2,3.778,95
N/A,5,1,44,11,0,150,0,1,N/A,703986,6,0,252,icmp-echo,1733576143,2024-12-07 09:55:37,185.131.204.20,10.50.3.10,4,191.112.0.1,N/A,3,3,192.168.1.27,3,2,4.174,95
N/A,5,1,44,11,0,0,0,1,N/A,958564,1,1,250,icmp-echo,1733576148,2024-12-07 09:55:37,185.131.204.20,213.140.39.160,5,10.50.3.10,N/A,3,3,192.168.1.27,3,2,6.205,95
N/A,5,1,44,11,0,0,0,1,N/A,217087,3,0,250,icmp-echo,1733576159,2024-12-07 09:55:37,185.131.204.20,213.140.39.160,5,10.50.3.10,N/A,3,3,192.168.1.27,3,2,6.264,95
N/A,5,1,44,11,0,0,0,1,N/A,471075,4,1,250,icmp-echo,1733576164,2024-12-07 09:55:37,185.131.204.20,213.140.39.160,5,10.50.3.10,N/A,3,3,192.168.1.27,3,2,6.386,95
N/A,5,1,44,11,0,0,0,1,N/A,721856,5,0,250,icmp-echo,1733576164,2024-12-07 09:55:37,185.131.204.20,213.140.39.160,5,10.50.3.10,N/A,3,3,192.168.1.27,3,2,6.59,95
N/A,5,1,44,11,0,0,0,1,N/A,976097,6,1,250,icmp-echo,1733576169,2024-12-07 09:55:37,185.131.204.20,213.140.39.160,5,10.50.3.10,N/A,3,3,192.168.1.27,3,2,5.981,95
64118,5,1,40,11,0,69,0,1,N/A,924069,64118,0,254,tcp-sport,1733575814,2024-12-07 09:50:14,130.104.228.159,191.112.0.1,2,192.168.1.1,33435,2,3,192.168.1.27,2,2,5.132,95
64118,5,1,40,11,0,72,0,1,N/A,174778,64119,0,254,tcp-sport,1733575815,2024-12-07 09:50:14,130.104.228.159,191.112.0.1,2,192.168.1.1,33435,2,3,192.168.1.27,2,2,4.535,95
64118,5,1,40,11,0,73,0,1,N/A,425444,64120,0,254,tcp-sport,1733575815,2024-12-07 09:50:14,130.104.228.159,191.112.0.1,2,192.168.1.1,33435,2,3,192.168.1.27,2,2,4.502,95
64118,5,1,40,11,0,80,0,1,N/A,676448,64121,0,254,tcp-sport,1733575815,2024-12-07 09:50:14,130.104.228.159,191.112.0.1,2,192.168.1.1,33435,2,3,192.168.1.27,2,2,4.862,95
64118,5,1,40,11,0,84,0,1,N/A,926633,64122,0,254,tcp-sport,1733575815,2024-12-07 09:50:14,130.104.228.159,191.112.0.1,2,192.168.1.1,33435,2,3,192.168.1.27,2,2,4.807,95
64118,5,1,40,11,0,86,0,1,N/A,176748,64123,0,254,tcp-sport,1733575816,2024-12-07 09:50:14,130.104.228.159,191.112.0.1,2,192.168.1.1,33435,2,3,192.168.1.27,2,2,4.764,95
64118,5,1,40,11,0,750,0,1,N/A,677886,64119,0,253,tcp-sport,1733575816,2024-12-07 09:50:14,130.104.228.159,10.50.3.9,3,191.112.0.1,33435,2,3,192.168.1.27,2,2,4.63,95
64118,5,1,40,11,0,138,0,1,N/A,179905,64121,0,253,tcp-sport,1733575817,2024-12-07 09:50:14,130.104.228.159,10.50.3.9,3,191.112.0.1,33435,2,3,192.168.1.27,2,2,4.027,95
64118,5,1,40,11,0,905,0,1,N/A,430122,64122,0,253,tcp-sport,1733575817,2024-12-07 09:50:14,130.104.228.159,10.50.3.9,3,191.112.0.1,33435,2,3,192.168.1.27,2,2,3.978,95
64118,5,1,40,11,0,337,0,1,N/A,931472,64124,0,253,tcp-sport,1733575817,2024-12-07 09:50:14,130.104.228.159,10.50.3.9,3,191.112.0.1,33435,2,3,192.168.1.27,2,2,3.481,95
64118,5,1,40,11,0,384,0,1,N/A,182330,64125,0,253,tcp-sport,1733575818,2024-12-07 09:50:14,130.104.228.159,10.50.3.9,3,191.112.0.1,33435,2,3,192.168.1.27,2,2,4.148,95
64118,5,1,40,11,0,142,0,1,N/A,683064,64127,0,253,tcp-sport,1733575818,2024-12-07 09:50:14,130.104.228.159,10.50.3.9,3,191.112.0.1,33435,2,3,192.168.1.27,2,2,4.839,95
64118,5,1,40,11,0,245,0,1,N/A,183516,64119,0,253,tcp-sport,1733575819,2024-12-07 09:50:14,130.104.228.159,10.50.3.9,3,191.112.0.1,33435,2,3,192.168.1.27,2,2,18.67,95
64118,5,1,40,11,0,306,0,1,N/A,433540,64119,0,253,tcp-sport,1733575819,2024-12-07 09:50:14,130.104.228.159,10.50.3.9,3,191.112.0.1,33435,2,3,192.168.1.27,2,2,4.14,95
64118,5,1,40,11,0,976,0,1,N/A,426826,64118,0,253,tcp-sport,1733575816,2024-12-07 09:50:14,130.104.228.159,10.50.3.21,3,191.112.0.1,33435,2,3,192.168.1.27,2,2,3.691,95
64118,5,1,40,11,0,767,0,1,N/A,928889,64120,0,253,tcp-sport,1733575816,2024-12-07 09:50:14,130.104.228.159,10.50.3.21,3,191.112.0.1,33435,2,3,192.168.1.27,2,2,4.636,95
64118,5,1,40,11,0,128,0,1,N/A,680467,64123,0,253,tcp-sport,1733575817,2024-12-07 09:50:14,130.104.228.159,10.50.3.21,3,191.112.0.1,33435,2,3,192.168.1.27,2,2,3.617,95
64118,5,1,40,11,0,229,0,1,N/A,432837,64126,0,253,tcp-sport,1733575818,2024-12-07 09:50:14,130.104.228.159,10.50.3.21,3,191.112.0.1,33435,2,3,192.168.1.27,2,2,3.85,95
64118,5,1,40,11,0,544,0,1,N/A,933103,64128,0,253,tcp-sport,1733575818,2024-12-07 09:50:14,130.104.228.159,10.50.3.21,3,191.112.0.1,33435,2,3,192.168.1.27,2,2,3.936,95
64118,5,1,40,11,0,363,0,1,N/A,684274,64119,0,253,tcp-sport,1733575819,2024-12-07 09:50:14,130.104.228.159,10.50.3.21,3,191.112.0.1,33435,2,3,192.168.1.27,2,2,4.008,95
64118,5,1,40,11,0,937,0,1,N/A,934951,64118,0,252,tcp-sport,1733575819,2024-12-07 09:50:14,130.104.228.159,10.50.3.10,4,191.112.0.1,33435,2,3,192.168.1.27,2,2,4.43,95
64118,5,1,40,11,0,296,0,1,N/A,436850,64120,1,252,tcp-sport,1733575825,2024-12-07 09:50:14,130.104.228.159,10.50.3.10,4,191.112.0.1,33435,2,3,192.168.1.27,2,2,4.633,95
64118,5,1,40,11,0,502,0,1,N/A,686899,64121,0,252,tcp-sport,1733575825,2024-12-07 09:50:14,130.104.228.159,10.50.3.10,4,191.112.0.1,33435,2,3,192.168.1.27,2,2,4.632,95
64118,5,1,40,11,0,439,0,1,N/A,937976,64122,0,252,tcp-sport,1733575825,2024-12-07 09:50:14,130.104.228.159,10.50.3.10,4,191.112.0.1,33435,2,3,192.168.1.27,2,2,4.521,95
64118,5,1,40,11,0,523,0,1,N/A,188949,64123,0,252,tcp-sport,1733575826,2024-12-07 09:50:14,130.104.228.159,10.50.3.10,4,191.112.0.1,33435,2,3,192.168.1.27,2,2,4.564,95
64118,5,1,40,11,0,0,0,1,N/A,185826,64119,0,252,tcp-sport,1733575820,2024-12-07 09:50:14,130.104.228.159,10.50.3.22,4,191.112.0.1,33435,2,3,192.168.1.27,2,2,4.881,95
64118,5,1,40,11,0,0,0,1,N/A,439956,64124,0,252,tcp-sport,1733575826,2024-12-07 09:50:14,130.104.228.159,10.50.3.22,4,191.112.0.1,33435,2,3,192.168.1.27,2,2,3.945,95
64118,5,1,40,11,0,0,0,1,N/A,690770,64125,0,252,tcp-sport,1733575826,2024-12-07 09:50:14,130.104.228.159,10.50.3.22,4,191.112.0.1,33435,2,3,192.168.1.27,2,2,4.154,95
64118,5,1,40,11,0,0,0,1,N/A,941370,64126,0,252,tcp-sport,1733575826,2024-12-07 09:50:14,130.104.228.159,10.50.3.22,4,191.112.0.1,33435,2,3,192.168.1.27,2,2,9.506,95
64118,5,1,40,11,0,0,0,1,N/A,192326,64127,0,252,tcp-sport,1733575827,2024-12-07 09:50:14,130.104.228.159,10.50.3.22,4,191.112.0.1,33435,2,3,192.168.1.27,2,2,4.013,95
64118,5,1,40,11,0,0,0,1,N/A,442790,64128,0,252,tcp-sport,1733575827,2024-12-07 09:50:14,130.104.228.159,10.50.3.22,4,191.112.0.1,33435,2,3,192.168.1.27,2,2,4.85,95
62062,5,1,44,11,0,673,0,1,N/A,121475,33435,0,254,udp-dport,1733575544,2024-12-07 09:45:43,130.104.228.159,191.112.0.1,2,192.168.1.1,33435,2,3,192.168.1.27,2,2,4.513,95
62062,5,1,44,11,0,674,0,1,N/A,372448,33436,0,254,udp-dport,1733575544,2024-12-07 09:45:43,130.104.228.159,191.112.0.1,2,192.168.1.1,33435,2,3,192.168.1.27,2,2,4.524,95
62062,5,1,44,11,0,694,0,1,N/A,623493,33437,0,254,udp-dport,1733575544,2024-12-07 09:45:43,130.104.228.159,191.112.0.1,2,192.168.1.1,33435,2,3,192.168.1.27,2,2,8.264,95
62062,5,1,44,11,0,695,0,1,N/A,874142,33438,0,254,udp-dport,1733575544,2024-12-07 09:45:43,130.104.228.159,191.112.0.1,2,192.168.1.1,33435,2,3,192.168.1.27,2,2,4.996,95
62062,5,1,44,11,0,696,0,1,N/A,124499,33439,0,254,udp-dport,1733575545,2024-12-07 09:45:43,130.104.228.159,191.112.0.1,2,192.168.1.1,33435,2,3,192.168.1.27,2,2,11.497,95
62062,5,1,44,11,0,697,0,1,N/A,375415,33440,0,254,udp-dport,1733575545,2024-12-07 09:45:43,130.104.228.159,191.112.0.1,2,192.168.1.1,33435,2,3,192.168.1.27,2,2,5.056,95
62062,5,1,44,11,0,99,0,1,N/A,625886,33435,0,253,udp-dport,1733575545,2024-12-07 09:45:43,130.104.228.159,10.50.3.9,3,191.112.0.1,33435,2,3,192.168.1.27,2,2,3.703,95
62062,5,1,44,11,0,635,0,1,N/A,381650,33438,0,253,udp-dport,1733575551,2024-12-07 09:45:43,130.104.228.159,10.50.3.9,3,191.112.0.1,33435,2,3,192.168.1.27,2,2,4.204,95
62062,5,1,44,11,0,64,0,1,N/A,389196,33442,0,253,udp-dport,1733575557,2024-12-07 09:45:43,130.104.228.159,10.50.3.9,3,191.112.0.1,33435,2,3,192.168.1.27,2,2,3.952,95
62062,5,1,44,11,0,644,0,1,N/A,639613,33443,0,253,udp-dport,1733575557,2024-12-07 09:45:43,130.104.228.159,10.50.3.9,3,191.112.0.1,33435,2,3,192.168.1.27,2,2,4.151,95
62062,5,1,44,11,0,349,0,1,N/A,890207,33444,0,253,udp-dport,1733575557,2024-12-07 09:45:43,130.104.228.159,10.50.3.9,3,191.112.0.1,33435,2,3,192.168.1.27,2,2,4.385,95
